network,neg,pos,ratio,mode,h1,h2,lr,bs,best_epoch,best_val_recall,best_val_neg_recall,best_balanced_acc
FullyConnectedPerceptron,1,1,1.0,BCE,128,128,0.004,32,0,0.6598248481750488,0.8525046110153198,0.7561647295951843
FullyConnectedPerceptron,1,1,1.0,BCE,128,128,0.0005,128,0,0.6885604858398438,0.8113661408424377,0.7499633133411407
FullyConnectedPerceptron,1,1,1.0,BCE,128,128,0.009,16,0,0.6529830098152161,0.8409805297851562,0.7469817698001862
FullyConnectedPerceptron,1,1,1.0,BCE,128,128,0.0009,128,0,0.715106725692749,0.7991062998771667,0.7571065127849579
FullyConnectedPerceptron,1,1,1.0,BCE,128,256,0.002,128,0,0.697044312953949,0.8148956894874573,0.7559700012207031
FullyConnectedPerceptron,1,1,1.0,BCE,128,256,0.002,16,0,0.7222222089767456,0.798012912273407,0.7601175606250763
FullyConnectedPerceptron,1,1,1.0,BCE,128,256,0.0002,128,0,0.6495621204376221,0.8204458951950073,0.7350040078163147
FullyConnectedPerceptron,1,1,1.0,BCE,128,256,0.0003,128,0,0.715106725692749,0.7453411221504211,0.7302239239215851
FullyConnectedPerceptron,1,1,1.0,BCE,128,64,0.001,128,0,0.7364531755447388,0.7701255083084106,0.7532893419265747
FullyConnectedPerceptron,1,1,1.0,BCE,128,64,0.006,128,0,0.6969075202941895,0.810943603515625,0.7539255619049072
FullyConnectedPerceptron,1,1,1.0,BCE,256,32,0.0001,32,0,0.6964969635009766,0.7684900760650635,0.73249351978302
FullyConnectedPerceptron,1,1,1.0,BCE,256,32,0.0002,16,0,0.7211275100708008,0.7802702784538269,0.7506988942623138
FullyConnectedPerceptron,1,1,1.0,BCE,256,32,0.0003,16,0,0.7194855213165283,0.7999463081359863,0.7597159147262573
FullyConnectedPerceptron,1,1,1.0,BCE,256,32,0.0006,64,0,0.7067596912384033,0.804559051990509,0.7556593716144562
FullyConnectedPerceptron,1,1,1.0,BCE,256,64,0.003,32,0,0.7023809552192688,0.8242098093032837,0.7632953822612762
FullyConnectedPerceptron,1,1,1.0,BCE,256,64,0.0004,32,0,0.7297482490539551,0.7900609374046326,0.7599045932292938
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.001,128,0,0.7082648873329163,0.8140230178833008,0.7611439526081085
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.001,16,0,0.7309797406196594,0.7889674305915833,0.7599735856056213
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.0001,16,0,0.7042966485023499,0.807750403881073,0.7560235261917114
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.002,16,0,0.7038861513137817,0.8135096430778503,0.758697897195816
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.0002,16,0,0.6985495090484619,0.8286902904510498,0.7636198997497559
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.0003,16,0,0.7006020545959473,0.8165538907051086,0.758577972650528
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.004,128,0,0.7094964385032654,0.8145024180412292,0.7619994282722473
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.0004,16,0,0.680213451385498,0.8449339270591736,0.7625736892223358
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.0005,16,0,0.7014231085777283,0.8315916657447815,0.7665073871612549
FullyConnectedPerceptron,1,1,1.0,BCE,512,128,0.0007,16,0,0.7402846217155457,0.7796168923377991,0.7599507570266724
FullyConnectedPerceptron,1,1,1.0,BCE,512,256,0.0001,16,0,0.7209907174110413,0.7828097343444824,0.7519002258777618
FullyConnectedPerceptron,1,1,1.0,BCE,512,256,0.0001,32,0,0.7308428883552551,0.7545543313026428,0.742698609828949
FullyConnectedPerceptron,1,1,1.0,BCE,512,256,0.0003,16,0,0.6806239485740662,0.8427640199661255,0.7616939842700958
FullyConnectedPerceptron,1,1,1.0,BCE,512,256,0.0004,128,0,0.7140120267868042,0.7993913292884827,0.7567016780376434
FullyConnectedPerceptron,1,1,1.0,BCE,512,256,0.0004,16,0,0.7489053010940552,0.7702143788337708,0.759559839963913
FullyConnectedPerceptron,1,1,1.0,BCE,512,32,0.0002,16,0,0.688697338104248,0.8259732723236084,0.7573353052139282
FullyConnectedPerceptron,1,1,1.0,BCE,512,64,0.0005,128,0,0.7472632527351379,0.7636969685554504,0.7554801106452942
FullyConnectedPerceptron,1,1,1.0,BCE,512,64,0.0007,128,0,0.6926655769348145,0.8248229026794434,0.7587442398071289
FullyConnectedPerceptron,1,1,1.0,BCE,512,64,0.0007,64,0,0.7034756541252136,0.8117849826812744,0.757630318403244
FullyConnectedPerceptron,1,1,1.0,BCE,64,128,0.0002,64,0,0.618500292301178,0.8258316516876221,0.7221659719944
FullyConnectedPerceptron,1,1,1.0,BCE,64,256,0.0009,64,0,0.7230432629585266,0.7891550064086914,0.756099134683609
FullyConnectedPerceptron,1,1,1.0,BCE,64,32,0.0002,64,0,0.6632457375526428,0.7616429328918457,0.7124443352222443
FullyConnectedPerceptron,1,1,1.0,BCE,64,64,0.0001,128,0,0.6854132413864136,0.8064888119697571,0.7459510266780853
FullyConnectedPerceptron,1,1,1.0,BCE,64,64,0.0005,128,0,0.6644772887229919,0.8078885674476624,0.7361829280853271
FullyConnectedPerceptron,1,1,1.0,weightedBCE,128,128,0.001,64,0,0.6715927720069885,0.838542103767395,0.7550674378871918
FullyConnectedPerceptron,1,1,1.0,weightedBCE,128,128,0.0001,128,0,0.6958128213882446,0.7221679091453552,0.7089903652667999
FullyConnectedPerceptron,1,1,1.0,weightedBCE,128,128,0.0001,16,0,0.6728243231773376,0.8080622553825378,0.7404432892799377
FullyConnectedPerceptron,1,1,1.0,weightedBCE,128,256,0.001,128,0,0.7328954339027405,0.782604455947876,0.7577499449253082
FullyConnectedPerceptron,1,1,1.0,weightedBCE,128,32,0.0008,32,0,0.6995074152946472,0.8171581029891968,0.758332759141922
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,128,0.005,128,0,0.7126436829566956,0.8106238842010498,0.7616337835788727
